arm,pA,pB,pC,pD,totalN,drift,totalN less
2,0.2,0.1,0,0,720,1,720
2,0.2,0.1,0,0,720,1.2,720
2,0.2,0.1,0,0,720,0.8,720
2,0.6,0.4,0,0,325,1,325
2,0.6,0.4,0,0,325,1.1,325
2,0.6,0.4,0,0,325,0.8,325
2,0.8,0.6,0,0,271,1,271
2,0.8,0.6,0,0,271,1.05,271
2,0.8,0.6,0,0,271,0.8,271
2,0.4,0.3,0,0,1156,1,1156
2,0.4,0.3,0,0,1156,1.2,1156
2,0.4,0.3,0,0,1156,0.8,1156
3,0.2,0.15,0.1,0,4228,1,3903
3,0.2,0.15,0.1,0,4228,1.2,3903
3,0.2,0.15,0.1,0,4228,0.8,3903
3,0.5,0.3,0.2,0,450,1,419
3,0.5,0.3,0.2,0,450,1.1,419
3,0.5,0.3,0.2,0,450,0.8,419
3,0.4,0.3,0.2,0,1670,1,1541
3,0.4,0.3,0.2,0,1670,1.2,1541
3,0.4,0.3,0.2,0,1670,0.8,1541
3,0.8,0.6,0.4,0,391,1,363
3,0.8,0.6,0.4,0,391,1.05,363
3,0.8,0.6,0.4,0,391,0.8,363
4,0.4,0.3,0.2,0.1,2182,1,1783
4,0.4,0.3,0.2,0.1,2182,1.2,1783
4,0.4,0.3,0.2,0.1,2182,0.8,1783
4,0.5,0.3,0.2,0.1,578,1,481
4,0.5,0.3,0.2,0.1,578,1.1,481
4,0.5,0.3,0.2,0.1,578,0.8,481
4,0.2,0.15,0.1,0.05,5523,1,4511
4,0.2,0.15,0.1,0.05,5523,1.2,4511
4,0.2,0.15,0.1,0.05,5523,0.8,4511
4,0.8,0.6,0.4,0.2,511,1,417
4,0.8,0.6,0.4,0.2,511,1.05,417
4,0.8,0.6,0.4,0.2,511,0.8,417